"","predict","y.lower","y.upper"
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472",6166.1357421875,22764.5335872311,188848.122959114
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr2:21178113-87668206",6166.1357421875,3013.18234395982,144782.265551999
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr6:95830543-157559467",6166.1357421875,3108.75325433166,410519.212629861
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr7:100606043-130154523",6166.1357421875,2942.13321165742,282970.980419547
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472",6166.1357421875,17462.9241088182,136582.064307985
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr2:21178113-87668206",6166.1357421875,2814.25525265933,163535.299284369
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr6:95830543-157559467",6166.1357421875,3952.70181807877,529565.904187965
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr7:100606043-130154523",6166.1357421875,4748.01177971065,359514.20833611
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr10:51448845-125869472",6166.1357421875,34335.0357523716,172190.89469171
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr2:21178113-87668206",6166.1357421875,3397.81641131641,105170.511237096
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr6:95830543-157559467",6166.1357421875,5849.53684655575,722593.590382398
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr7:100606043-130154523",6166.1357421875,10446.2359825187,421986.004072129
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr10:51448845-125869472",6166.1357421875,15885.0442973971,83964.8293356257
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr2:21178113-87668206",6166.1357421875,16027.0377085208,507774.670476735
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr6:95830543-157559467",6166.1357421875,4709.56144356729,1111780.03835509
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr7:100606043-130154523",6166.1357421875,2576.21555710585,794618.964329374
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr10:51448845-125869472",6166.1357421875,21835.0181073845,260894.311546678
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr2:21178113-87668206",6166.1357421875,8595.47796836498,132267.438379559
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr6:95830543-157559467",6166.1357421875,98639.7775199379,1060916.35745185
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr7:100606043-130154523",6166.1357421875,5767.64446973804,628815.327239473
"H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr10:51448845-125869472",6166.1357421875,14564.0084137916,238095.664231488
"H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr2:21178113-87668206",6166.1357421875,5798.98607392612,236162.375042328
"H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr6:95830543-157559467",6166.1357421875,61645.3976206587,815521.451015032
"H3K36me3_AM_immune/samples/monocyte/McGill0104/problems/chr7:100606043-130154523",6166.1357421875,2004.45821520685,420676.216438694
"H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr10:51448845-125869472",6166.1357421875,71631.2349472668,423894.99906627
"H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr2:21178113-87668206",6166.1357421875,3345.22627407314,291445.666668541
"H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr6:95830543-157559467",6166.1357421875,16254.7056732624,523792.724032656
"H3K36me3_AM_immune/samples/tcell/McGill0004/problems/chr7:100606043-130154523",6166.1357421875,2989.33758437633,633127.816744452
"H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr10:51448845-125869472",6166.1357421875,24875.5593917825,250858.82889419
"H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr2:21178113-87668206",6166.1357421875,3453.51061415673,302025.427344637
"H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr6:95830543-157559467",6166.1357421875,6621.22740361098,302416.976544109
"H3K36me3_AM_immune/samples/tcell/McGill0005/problems/chr7:100606043-130154523",6166.1357421875,2176.92357409,271357.461273173
"H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr10:51448845-125869472",6166.1357421875,27312.3659238744,142011.324637419
"H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr2:21178113-87668206",6166.1357421875,2879.54455148429,179156.187769139
"H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr6:95830543-157559467",6166.1357421875,5665.97214517741,190509.755695528
"H3K36me3_AM_immune/samples/tcell/McGill0007/problems/chr7:100606043-130154523",6166.1357421875,1464.69573461265,188691.791611723
"H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr10:51448845-125869472",6166.1357421875,40553.836798732,179630.764913361
"H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr2:21178113-87668206",6166.1357421875,2200.617344819,254873.502334596
"H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr6:95830543-157559467",6166.1357421875,1551.50741942785,245440.365656557
"H3K36me3_AM_immune/samples/tcell/McGill0008/problems/chr7:100606043-130154523",6166.1357421875,788.837559266949,356873.996946297
"H3K36me3_AM_immune/samples/tcell/McGill0009/problems/chr10:51448845-125869472",6166.1357421875,17959.6742491722,329953.672967036
"H3K36me3_AM_immune/samples/tcell/McGill0009/problems/chr2:21178113-87668206",6166.1357421875,17631.7548395694,439943.464836381
"H3K36me3_AM_immune/samples/tcell/McGill0009/problems/chr6:95830543-157559467",6166.1357421875,1784.55971655249,511745.355767344
"H3K36me3_AM_immune/samples/tcell/McGill0009/problems/chr7:100606043-130154523",6166.1357421875,3732.80183400215,621180.489041656
"H3K36me3_AM_immune/samples/tcell/McGill0011/problems/chr10:51448845-125869472",6166.1357421875,9673.69671630862,28176.8867660003
"H3K36me3_AM_immune/samples/tcell/McGill0011/problems/chr2:21178113-87668206",6166.1357421875,4958.34117944537,353372.524990737
"H3K36me3_AM_immune/samples/tcell/McGill0011/problems/chr6:95830543-157559467",6166.1357421875,2589.26255472005,295511.616338787
"H3K36me3_AM_immune/samples/tcell/McGill0011/problems/chr7:100606043-130154523",6166.1357421875,1421.62438087911,290847.461071255
"H3K36me3_AM_immune/samples/tcell/McGill0024/problems/chr10:51448845-125869472",6166.1357421875,36026.3253409267,437680.475445211
"H3K36me3_AM_immune/samples/tcell/McGill0024/problems/chr2:21178113-87668206",6166.1357421875,21822.2822472751,360558.878652814
"H3K36me3_AM_immune/samples/tcell/McGill0024/problems/chr6:95830543-157559467",6166.1357421875,3346.38345077635,766616.276021974
