"","predict","y.lower","y.upper"
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472",40455.19140625,22764.5335872311,188848.122959114
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr2:21178113-87668206",24709.912109375,3013.18234395982,144782.265551999
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr6:95830543-157559467",24794.845703125,3108.75325433166,410519.212629861
"H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr7:100606043-130154523",39786.6875,2942.13321165742,282970.980419547
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472",42614.4375,17462.9241088182,136582.064307985
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr2:21178113-87668206",21695.029296875,2814.25525265933,163535.299284369
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr6:95830543-157559467",25688.263671875,3952.70181807877,529565.904187965
"H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr7:100606043-130154523",52269.59375,4748.01177971065,359514.20833611
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr10:51448845-125869472",69898.03125,34335.0357523716,172190.89469171
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr2:21178113-87668206",44116.4375,3397.81641131641,105170.511237096
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr6:95830543-157559467",51836.91796875,5849.53684655575,722593.590382398
"H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr7:100606043-130154523",60483.16796875,10446.2359825187,421986.004072129
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr10:51448845-125869472",84310.2265625,15885.0442973971,83964.8293356257
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr2:21178113-87668206",38028.5703125,16027.0377085208,507774.670476735
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr6:95830543-157559467",59646.7421875,4709.56144356729,1111780.03835509
"H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr7:100606043-130154523",112644.3125,2576.21555710585,794618.964329374
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr10:51448845-125869472",97369.75,21835.0181073845,260894.311546678
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr2:21178113-87668206",48697.94921875,8595.47796836498,132267.438379559
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr6:95830543-157559467",64179.48828125,98639.7775199379,1060916.35745185
"H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr7:100606043-130154523",92643.1328125,5767.64446973804,628815.327239473
