sequenceID,fold
100_chr1,5
100_chr11,5
100_chr17,5
100_chr2,5
100_chr3,5
100_chr4,5
101_chr1,4
101_chr11,4
101_chr17,4
101_chr2,4
101_chr3,4
101_chr4,4
102_chr1,4
102_chr11,4
102_chr17,4
102_chr2,4
102_chr3,4
102_chr4,4
103_chr1,5
103_chr11,5
103_chr17,5
103_chr2,5
103_chr3,5
103_chr4,5
104_chr1,5
104_chr11,5
104_chr17,5
104_chr2,5
104_chr3,5
104_chr4,5
105_chr1,6
105_chr11,6
105_chr17,6
105_chr2,6
105_chr3,6
105_chr4,6
106_chr1,6
106_chr11,6
106_chr17,6
106_chr2,6
106_chr3,6
106_chr4,6
107_chr1,6
107_chr11,6
107_chr17,6
107_chr2,6
107_chr3,6
107_chr4,6
108_chr1,6
108_chr11,6
108_chr17,6
108_chr2,6
108_chr3,6
108_chr4,6
109_chr1,4
109_chr11,4
109_chr17,4
109_chr2,4
109_chr3,4
109_chr4,4
10_chr1,6
10_chr11,6
10_chr17,6
10_chr2,6
10_chr3,6
10_chr4,6
110_chr1,6
110_chr11,6
110_chr17,6
110_chr2,6
110_chr3,6
110_chr4,6
111_chr1,4
111_chr11,4
111_chr17,4
111_chr2,4
111_chr3,4
111_chr4,4
112_chr1,4
112_chr11,4
112_chr17,4
112_chr2,4
112_chr3,4
112_chr4,4
113_chr1,4
113_chr11,4
113_chr17,4
113_chr2,4
113_chr3,4
113_chr4,4
114_chr1,6
114_chr11,6
114_chr17,6
114_chr2,6
114_chr3,6
114_chr4,6
115_chr1,4
115_chr11,4
115_chr17,4
115_chr2,4
115_chr3,4
115_chr4,4
116_chr1,6
116_chr11,6
116_chr17,6
116_chr2,6
116_chr3,6
116_chr4,6
117_chr1,4
117_chr11,4
117_chr17,4
117_chr2,4
117_chr3,4
117_chr4,4
118_chr1,5
118_chr11,5
118_chr17,5
118_chr3,5
118_chr4,5
119_chr1,4
119_chr11,4
119_chr17,4
119_chr2,4
119_chr3,4
119_chr4,4
11_chr1,5
11_chr11,5
11_chr17,5
11_chr2,5
11_chr3,5
11_chr4,5
120_chr1,6
120_chr11,6
120_chr17,6
120_chr2,6
120_chr3,6
120_chr4,6
121_chr1,4
121_chr11,4
121_chr17,4
121_chr2,4
121_chr3,4
121_chr4,4
122_chr1,5
122_chr11,5
122_chr17,5
122_chr2,5
122_chr3,5
122_chr4,5
123_chr1,6
123_chr11,6
123_chr17,6
123_chr2,6
123_chr3,6
123_chr4,6
124_chr1,5
124_chr11,5
124_chr17,5
124_chr2,5
124_chr3,5
124_chr4,5
125_chr1,5
125_chr11,5
125_chr17,5
125_chr2,5
125_chr3,5
125_chr4,5
126_chr1,4
126_chr11,4
126_chr17,4
126_chr2,4
126_chr3,4
126_chr4,4
127_chr1,5
127_chr11,5
127_chr17,5
127_chr2,5
127_chr3,5
127_chr4,5
128_chr1,5
128_chr11,5
128_chr17,5
128_chr2,5
128_chr3,5
128_chr4,5
129_chr1,4
129_chr11,4
129_chr17,4
129_chr2,4
129_chr3,4
129_chr4,4
12_chr1,5
12_chr11,5
12_chr17,5
12_chr2,5
12_chr3,5
12_chr4,5
130_chr1,4
130_chr11,4
130_chr17,4
130_chr2,4
130_chr3,4
130_chr4,4
131_chr1,5
131_chr11,5
131_chr17,5
131_chr2,5
131_chr3,5
131_chr4,5
132_chr1,5
132_chr11,5
132_chr17,5
132_chr2,5
132_chr3,5
132_chr4,5
133_chr1,6
133_chr11,6
133_chr2,6
133_chr3,6
133_chr4,6
134_chr1,5
134_chr11,5
134_chr17,5
134_chr2,5
134_chr3,5
134_chr4,5
135_chr1,6
135_chr11,6
135_chr17,6
135_chr2,6
135_chr3,6
135_chr4,6
136_chr1,5
136_chr11,5
136_chr17,5
136_chr2,5
136_chr3,5
136_chr4,5
137_chr1,5
137_chr11,5
137_chr17,5
137_chr2,5
137_chr3,5
137_chr4,5
138_chr1,6
138_chr11,6
138_chr17,6
138_chr2,6
138_chr3,6
138_chr4,6
139_chr1,4
139_chr11,4
139_chr17,4
139_chr2,4
139_chr3,4
139_chr4,4
13_chr1,6
13_chr11,6
13_chr17,6
13_chr2,6
13_chr3,6
13_chr4,6
140_chr1,5
140_chr11,5
140_chr17,5
140_chr2,5
140_chr3,5
140_chr4,5
141_chr1,4
141_chr11,4
141_chr17,4
141_chr2,4
141_chr3,4
141_chr4,4
142_chr1,5
142_chr11,5
142_chr17,5
142_chr2,5
142_chr3,5
142_chr4,5
143_chr1,4
143_chr11,4
143_chr17,4
143_chr2,4
143_chr3,4
143_chr4,4
144_chr1,6
144_chr11,6
144_chr17,6
144_chr2,6
144_chr3,6
144_chr4,6
145_chr1,4
145_chr11,4
145_chr17,4
145_chr2,4
145_chr3,4
145_chr4,4
146_chr1,4
146_chr11,4
146_chr17,4
146_chr2,4
146_chr3,4
146_chr4,4
147_chr11,4
147_chr17,4
147_chr2,4
147_chr3,4
147_chr4,4
148_chr1,5
148_chr11,5
148_chr17,5
148_chr2,5
148_chr3,5
148_chr4,5
149_chr1,4
149_chr11,4
149_chr17,4
149_chr2,4
149_chr3,4
149_chr4,4
14_chr11,4
14_chr17,4
14_chr2,4
14_chr3,4
14_chr4,4
150_chr1,5
150_chr11,5
150_chr17,5
150_chr2,5
150_chr3,5
150_chr4,5
151_chr1,5
151_chr11,5
151_chr17,5
151_chr2,5
151_chr3,5
151_chr4,5
152_chr1,5
152_chr11,5
152_chr17,5
152_chr2,5
152_chr3,5
152_chr4,5
153_chr1,4
153_chr11,4
153_chr17,4
153_chr2,4
153_chr3,4
153_chr4,4
154_chr1,4
154_chr11,4
154_chr17,4
154_chr2,4
154_chr3,4
154_chr4,4
155_chr1,5
155_chr11,5
155_chr17,5
155_chr2,5
155_chr3,5
155_chr4,5
156_chr1,4
156_chr11,4
156_chr17,4
156_chr2,4
156_chr3,4
156_chr4,4
157_chr1,4
157_chr11,4
157_chr17,4
157_chr2,4
157_chr3,4
157_chr4,4
158_chr1,4
158_chr11,4
158_chr17,4
158_chr2,4
158_chr3,4
158_chr4,4
159_chr1,4
159_chr11,4
159_chr17,4
159_chr2,4
159_chr3,4
159_chr4,4
15_chr1,5
15_chr11,5
15_chr17,5
15_chr2,5
15_chr3,5
15_chr4,5
160_chr1,4
160_chr11,4
160_chr17,4
160_chr2,4
160_chr3,4
160_chr4,4
161_chr1,6
161_chr17,6
161_chr2,6
161_chr3,6
161_chr4,6
162_chr1,6
162_chr11,6
162_chr17,6
162_chr2,6
162_chr3,6
162_chr4,6
163_chr1,5
163_chr11,5
163_chr17,5
163_chr2,5
163_chr3,5
163_chr4,5
164_chr1,6
164_chr11,6
164_chr17,6
164_chr2,6
164_chr3,6
164_chr4,6
165_chr1,6
165_chr11,6
165_chr17,6
165_chr2,6
165_chr3,6
165_chr4,6
166_chr1,4
166_chr11,4
166_chr17,4
166_chr2,4
166_chr3,4
166_chr4,4
167_chr1,6
167_chr11,6
167_chr17,6
167_chr2,6
167_chr3,6
167_chr4,6
168_chr1,4
168_chr11,4
168_chr17,4
168_chr2,4
168_chr3,4
168_chr4,4
169_chr1,4
169_chr11,4
169_chr17,4
169_chr2,4
169_chr3,4
169_chr4,4
16_chr1,5
16_chr11,5
16_chr17,5
16_chr2,5
16_chr3,5
16_chr4,5
170_chr1,5
170_chr11,5
170_chr17,5
170_chr2,5
170_chr3,5
170_chr4,5
171_chr1,5
