"l","u","id"
0,2.11079266155139,1
3.0133384297369,Inf,2
0.433798141893931,2.60195477341767,3
2.37452609057073,3.99827796849422,4
2.98081869841553,Inf,5
0.140467363526113,2.28467518929392,6
0,2.13579165574629,7
0,1.82906544010621,8
3.08144100534264,Inf,9
0.781242839875631,2.98685564775951,10
3.02675258484669,Inf,11
2.32126092945691,4.43849711911753,12
1.14218223781791,1.55892751296051,13
0.132879503071308,0.792509098537266,14
3.6158477695426,Inf,15
1.75445101456717,3.23417527310085,16
0.0804183835862204,2.03808112361003,17
1.10320897889324,1.65750928164925,18
2.74268852372188,Inf,19
0,2.24298737768549,20
1.91542132757604,Inf,21
1.17982262454461,Inf,22
2.45961331180297,Inf,23
0,1.20472817798145,24
1.94732875272166,Inf,25
2.33324861270376,Inf,26
2.58154422277585,Inf,27
3.04415662831161,Inf,28
0,1.82074109907262,29
3.14105548372027,Inf,30
2.66003762721084,Inf,31
1.01400784798898,2.60901750647463,32
0,2.23055899085011,33
1.84546085889451,Inf,34
0,1.3211265130667,35
0.445218170643784,1.39121940883342,36
3.08499426988419,Inf,37
0.613552995491773,Inf,38
1.32740860106423,Inf,39
1.61737768503372,Inf,40
0,1.96091680903919,41
0.55767118523363,Inf,42
3.01282983389683,Inf,43
0.320978623931296,Inf,44
0,1.33902721572667,45
0,2.09772921924014,46
0,2.31544788694009,47
2.61636012233794,Inf,48
4.04496928211302,Inf,49
2.23599800025113,4.09356996940915,50
0.852653110050596,1.56502335215919,51
0.542097395518795,Inf,52
2.12853222037666,Inf,53
0,1.02311997092329,54
0.61207837134134,2.03912732424214,55
0.766907645738684,2.23026516439859,56
0.510939244995825,Inf,57
0.29066126444377,2.77319722808897,58
0.695112128159963,1.7789106478449,59
2.56602065172046,Inf,60
3.24835582519881,Inf,61
3.50825966743287,Inf,62
0,2.42578228644561,63
1.77319037145935,Inf,64
0.88168956048321,2.08084129088093,65
1.01427731104195,Inf,66
2.0498789526755,Inf,67
2.8421262127813,Inf,68
1.62273874506354,3.05480408133008,69
2.90335672965739,Inf,70
0,2.37490291765425,71
0.661057784454897,Inf,72
1.57283069856931,Inf,73
0,1.40827106952202,74
0.685597082483582,1.76893664523959,75
0,2.34706748917233,76
0.531300090951845,2.79397650272585,77
0,2.39374124445021,78
0,1.46235873631667,79
0,2.25907317711972,80
2.59652932581957,Inf,81
1.02462546085007,1.99497132853139,82
3.89493461465463,Inf,83
0,1.12262269190978,84
0,1.37155686796177,85
3.85579177178442,Inf,86
3.20392216497567,Inf,87
0.973208596697077,2.82855210301932,88
1.48979002202395,3.15655675542075,89
1.38806108618155,1.46814543229993,90
3.39173796412069,Inf,91
2.47419567662291,4.2578884732211,92
2.16524443007074,Inf,93
0.514168546069413,2.71145895356312,94
1.55543522967491,Inf,95
2.19221055915114,Inf,96
1.9858736381866,Inf,97
0,2.05792729917448,98
0,2.45600820810068,99
2.62059451953974,Inf,100
2.14051590359304,3.56131008942612,101
1.72634930349886,Inf,102
0,1.60738105711062,103
0,2.37355578050483,104
0,1.57331572496332,105
0.937720885267481,Inf,106
1.62180648301728,2.55848615837749,107
1.82191647938453,4.22991559084039,108
0.866419517551549,2.20423230784945,109
0.785136592458002,Inf,110
2.14393762580585,Inf,111
3.13098090235144,Inf,112
1.43867308041081,Inf,113
1.08178258698899,1.7620661132969,114
1.00138945737854,1.91441402654164,115
2.16678616881836,Inf,116
2.51692752877716,Inf,117
1.08012422453612,Inf,118
1.36732882587239,2.68367486423813,119
1.0957231069915,Inf,120
0,1.68773624754976,121
1.55770902114455,2.31147514597978,122
1.14556137064938,Inf,123
0,1.28371910017449,124
3.6165283358423,Inf,125
2.47633024991956,Inf,126
0.345129070919938,2.72225920809433,127
0,1.16992809053045,128
0.278938470873982,0.916631114669144,129
0.254087556386366,1.0756928473711,130
0.0820693641435355,1.56988607312087,131
0,1.67186964128632,132
2.81212458678056,Inf,133
0,0.98094942572061,134
1.33332437835634,2.32414290658198,135
0,1.02378548239358,136
1.74139278708026,Inf,137
0,2.24412841256708,138
2.3418316245079,3.79807252320461,139
0.369434572639875,2.72604109486565,140
0,2.13792929833289,141
1.09845866099931,Inf,142
0,2.09419532853644,143
0.521226943819784,2.75139251665678,144
0,1.61657901364379,145
0,2.45319127629045,146
0,2.0952803932596,147
1.19350147026125,Inf,148
1.07502250524703,Inf,149
0,2.47408603667282,150
1.91395440720953,Inf,151
0,2.49530446890276,152
0,1.63785633048974,153
0,2.28251191205345,154
0.952951646759175,2.49127387651242,155
0.114900753251277,0.296027792501263,156
3.28405449457932,Inf,157
0,2.01693923678249,158
1.80872557684779,Inf,159
2.98389945994131,Inf,160
1.87795275473036,Inf,161
0.924254434066825,2.57361381372903,162
0,1.78850411903113,163
1.29852544283494,Inf,164
1.09705790702719,2.95781066466589,165
2.43441643135156,Inf,166
0,1.87304922728799,167
0.710154757834971,1.7027336085448,168
1.08513610030059,Inf,169
