"","predict","y.lower","y.upper"
"H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516",143461.9375,40024.3876188501,311401.851294716
"H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr11:96437584-134946516",143461.9375,109135.870308999,909485.015324759
"H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr11:96437584-134946516",143461.9375,126715.374389043,999699.013600723
"H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr11:96437584-134946516",143461.9375,367116.047393725,3311790.68338875
"H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr11:96437584-134946516",143461.9375,223978.096292301,399612.959142771
"H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr11:96437584-134946516",143461.9375,226962.814710683,1290369.05065256
"H3K36me3_TDH_immune/samples/tcell/McGill0004/problems/chr11:96437584-134946516",143461.9375,80495.4227753317,579439.318150924
"H3K36me3_TDH_immune/samples/tcell/McGill0005/problems/chr11:96437584-134946516",143461.9375,70282.2315064287,510994.461983838
"H3K36me3_TDH_immune/samples/tcell/McGill0007/problems/chr11:96437584-134946516",143461.9375,47606.4773086991,314608.002042423
"H3K36me3_TDH_immune/samples/tcell/McGill0008/problems/chr11:96437584-134946516",143461.9375,57685.8130135916,449743.963941447
"H3K36me3_TDH_immune/samples/tcell/McGill0009/problems/chr11:96437584-134946516",143461.9375,81682.050804046,638923.506483602
"H3K36me3_TDH_immune/samples/tcell/McGill0011/problems/chr11:96437584-134946516",143461.9375,112998.800847495,718249.754533912
"H3K36me3_TDH_immune/samples/tcell/McGill0024/problems/chr11:96437584-134946516",143461.9375,229211.982614194,864330.230531341
"H3K36me3_TDH_immune/samples/tcell/McGill0025/problems/chr11:96437584-134946516",143461.9375,40572.0479269372,238358.352490164
"H3K36me3_TDH_immune/samples/tcell/McGill0026/problems/chr11:96437584-134946516",143461.9375,43552.6320350778,361126.105312747
"H3K36me3_TDH_immune/samples/tcell/McGill0027/problems/chr11:96437584-134946516",143461.9375,58565.136242426,354583.09053251
"H3K36me3_TDH_immune/samples/tcell/McGill0028/problems/chr11:96437584-134946516",143461.9375,31851.4751818139,208309.945946612
"H3K36me3_TDH_immune/samples/tcell/McGill0029/problems/chr11:96437584-134946516",143461.9375,60176.9111799444,300324.908219921
"H3K36me3_TDH_immune/samples/tcell/McGill0102/problems/chr11:96437584-134946516",143461.9375,75876.0123297438,421448.213080262
"H3K36me3_TDH_immune/samples/tcell/McGill0106/problems/chr11:96437584-134946516",143461.9375,243603.996548517,460973.679578479
"H3K36me3_TDH_immune/samples/tcell/McGill0107/problems/chr11:96437584-134946516",143461.9375,224954.38577921,436067.016126735
