"predict","y.lower","y.upper"
27212.7056146647,3620.3111691475,49394.6505897056
32515.63915001,1742.98897647858,5776.62073040009
66893.873805603,2274.42731249333,42576.4614652413
52512.6534159673,2608.30915248395,143954.050674444
39318.8886620167,4446.75459480284,68200.9523963901
12424.846332061,1707.68088537455,34911.0239542437
45281.0685278414,1964.66456162929,21650.0807595252
28597.9126165151,2926.74081492423,22007.7560333014
8187.68033858071,4369.94336387517,67201.2963832584
11833.4354664819,2159.39192268254,26006.6050477026
25331.9380874777,5699.4715767503,69037.8719188592
10092.6765778848,2495.09777479371,30781.0988642581
30557.5623186508,2023.64851808548,46859.0998926186
24283.5760816464,2321.28980606795,21773.1649616361
6519.592742928,2453.24906358123,72839.5119508183
13489.5946315163,5926.39921599627,48991.6189594845
24061.5783525405,6353.39963436124,61038.7926802611
17936.2724909803,2976.02290604511,27674.2318315504
18813.8165670953,4572.66288542747,23005.0954025984
18577.6319202033,2238.33135867119,12212.1028676033
12396.167129512,3316.25311619043,6100.97204411028
12259.0020302162,1854.55898565055,2201.03338217734
41723.9904207201,3979.54021859169,16858.5233000516
33834.7592694692,2577.81043112278,13502.7297641635
43240.0693184568,4410798.98377314,Inf
48785.4602714558,3106.09587007761,3720.75985658168
21863.6260674477,971387.237517672,Inf
17105.6526017213,4277.7165440917,10372.2815173864
19257.5030181861,8426.70674645898,81559.3655171411
10444.2960410059,2005.15857875348,80268.5454120359
14649.7465892439,4976.30680882932,34606.2369563574
20358.9186456046,2455.58980989457,12690.4836137295
5354.39221111549,2221.34720474481,19068.8518571853
8275.22445716606,4942.85028260947,12659.1643872857
19067.0775175258,22634.3132272966,138309.743453092
11050.7250605751,4514.13817360999,123673.305786851
38101.4628807661,2935.20822024345,149873.257506245
29579.8734442929,2281.30828255415,19733.5946577191
5626.00386796679,4350.0477038026,63071.4879398518
11871.5589069019,7484.75158822534,128173.548983271
27468.3866457213,17157.1585905553,112441.76267767
10009.6316753018,1957.65479709705,53708.1543893516
24584.9770258848,5742.1420609951,57332.6575909866
24543.7545553258,3793.54965311289,5660.42477333546
5076.27692548144,2080.43530842663,2392.38997602462
10068.0620497949,1507.36602085828,1794.08793109656
29891.8163424576,27269.997693658,139831.308357957
12129.3870295912,4201.71224212646,94120.3663013243
30548.3996109036,2250.48692512513,184219.680904151
29313.0094295886,3295.74163091181,8542.82107245919
5176.49793458175,8623.32498508696,104525.097596526
9202.86448648018,2512.58576828242,2776.33388084173
70810.5654336217,8826.4804726839,58088.2680300483
46619.3162789399,6406.01549708844,35104.3809821617
81545.7235642127,3517.23250913621,5250.16320192816
25741.6479363711,1987.7524087901,2249.71074157954
45955.7033064161,2856.81666624546,709047.427754773
33872.6306480919,1110.81124457717,100105.089915202
39949.618040116,997.137202858926,121865.068070054
54572.7975787429,3307.29341250657,372165.284417693
21349.4160812866,4200.92616412043,103716.059287999
5772.73912813,2477.25794368237,63326.8164590532
23889.0653486699,976.45832227916,160758.665817345
19830.0165768807,1581.934332937,28267.3436881392
2482.24768164147,883.388324178754,2190.10359395481
6403.9651381455,3220.28701102734,31322.2350404031
17688.0796048808,5406.63232633475,89980.4698994022
3602.13392473078,1395.96191069483,5034.45419798048
20810.9667274461,7035.52040690182,53806.0388546725
12889.1867618777,1633.31505678594,22595.4361888323
3607.19771876786,1581.22559495829,4605.6325607449
4902.31620683342,2376.78822140395,128126.645464833
42743.5644991223,10156.4515374899,287141.611194615
9310.49770748758,7404.30823737382,19313.3478674889
49735.0444675383,3172.52797532081,487518.812985294
30474.5921742085,4010.84046494962,63790.9306918982
4129.21830723328,2103.92342564464,20141.7077881695
12590.5459310066,2562.6430081129,2803.01758396625
22809.8725909789,5552.28323307636,123875.267538281
6563.81951550105,2750.5008737892,28077.677911096
32939.8713204213,4109.52880561353,95147.3525833171
22482.0265575942,2174.03378057479,36088.6099303068
3105.50872530279,1996.21106287838,5375.27862567452
8587.68424158641,1560.78445447484,23192.0771458605
40509.8531378958,14132.6811355353,245592.086968072
9080.04276943008,5612.29372069243,140933.839803036
50828.9476998149,4475.01414728165,190282.32743347
28239.5993604649,4513.59645229576,68610.865609348
3342.55565152591,1497.32330787182,23359.1209306272
11334.5445329464,2907.35719311237,101895.967962263
25285.1379707633,15879.0705589055,292291.890062919
11066.7733947984,4066.30794715883,4244.24940848349
33737.9633582727,2069.30724620819,134503.833609823
22695.3430278515,3618.63109195232,7130.22382700443
4971.57696645638,2235.45093646646,120602.718805253
12463.4998206366,2317.5817412138,2748.43209397792
28721.7511053957,9842.27509415152,142195.778830942
6641.99690546981,5134.20908109843,99095.6982428894
34985.1180995748,3948.20361125469,142759.184710333
23217.173873531,7553.98063290118,23621.8768493841
2780.4567413087,1903.39840839804,37483.9286190351
8089.58155038688,2565.41422024368,22868.793607324
73838.2664973962,4171.35411548614,294639.192326441
49984.5382354715,7063.98557829857,194708.729496304
31227.0947620985,1444.76433397829,97530.9022695097
