sequenceID,fold
100_chr1,1
100_chr11,1
100_chr17,1
100_chr2,1
100_chr3,1
100_chr4,1
101_chr1,4
101_chr11,4
101_chr17,4
101_chr2,4
101_chr3,4
101_chr4,4
102_chr1,6
102_chr11,6
102_chr17,6
102_chr2,6
102_chr3,6
102_chr4,6
103_chr1,3
103_chr11,3
103_chr17,3
103_chr2,3
103_chr22,3
103_chr3,3
103_chr4,3
103_chrX,3
104_chr1,2
104_chr11,2
104_chr17,2
104_chr2,2
104_chr3,2
104_chr4,2
105_chr1,5
105_chr11,5
105_chr17,5
105_chr2,5
105_chr3,5
105_chr4,5
106_chr1,4
106_chr11,4
106_chr14,4
106_chr16,4
106_chr17,4
106_chr3,4
106_chr4,4
106_chr5,4
106_chr6,4
106_chr8,4
106_chr9,4
107_chr1,2
107_chr11,2
107_chr17,2
107_chr2,2
107_chr3,2
107_chr4,2
108_chr1,4
108_chr11,4
108_chr17,4
108_chr2,4
108_chr3,4
108_chr4,4
109_chr1,2
109_chr11,2
109_chr17,2
109_chr2,2
109_chr3,2
109_chr4,2
109_chr8,2
10_chr1,2
10_chr11,2
10_chr17,2
10_chr2,2
10_chr3,2
10_chr4,2
110_chr1,3
110_chr11,3
110_chr17,3
110_chr2,3
110_chr3,3
110_chr4,3
111_chr1,3
111_chr11,3
111_chr17,3
111_chr2,3
111_chr3,3
111_chr4,3
112_chr1,4
112_chr11,4
112_chr17,4
112_chr2,4
112_chr3,4
112_chr4,4
113_chr1,4
113_chr10,4
113_chr11,4
113_chr13,4
113_chr17,4
113_chr2,4
113_chr3,4
113_chr4,4
113_chr6,4
113_chr7,4
113_chr9,4
114_chr1,5
114_chr11,5
114_chr17,5
114_chr2,5
114_chr3,5
114_chr4,5
115_chr1,5
115_chr11,5
115_chr17,5
115_chr2,5
115_chr3,5
115_chr4,5
116_chr1,6
116_chr11,6
116_chr14,6
116_chr17,6
116_chr2,6
116_chr3,6
116_chr4,6
116_chrX,6
117_chr1,4
117_chr11,4
117_chr17,4
117_chr2,4
117_chr3,4
117_chr4,4
118_chr1,1
118_chr11,1
118_chr17,1
118_chr3,1
118_chr4,1
119_chr1,5
119_chr11,5
119_chr17,5
119_chr2,5
119_chr3,5
119_chr4,5
11_chr1,2
11_chr11,2
11_chr14,2
11_chr16,2
11_chr17,2
11_chr2,2
11_chr21,2
11_chr3,2
11_chr4,2
11_chr7,2
11_chr9,2
120_chr1,3
120_chr11,3
120_chr17,3
120_chr2,3
120_chr3,3
120_chr4,3
121_chr1,1
121_chr11,1
121_chr17,1
121_chr2,1
121_chr3,1
121_chr4,1
122_chr1,3
122_chr11,3
122_chr17,3
122_chr2,3
122_chr3,3
122_chr4,3
123_chr1,5
123_chr11,5
123_chr12,5
123_chr14,5
123_chr16,5
123_chr17,5
123_chr19,5
123_chr2,5
123_chr3,5
123_chr4,5
123_chr7,5
123_chrX,5
124_chr1,1
124_chr11,1
124_chr17,1
124_chr2,1
124_chr3,1
124_chr4,1
125_chr1,2
125_chr11,2
125_chr17,2
125_chr2,2
125_chr3,2
125_chr4,2
126_chr1,1
126_chr11,1
126_chr17,1
126_chr2,1
126_chr3,1
126_chr4,1
127_chr1,6
127_chr11,6
127_chr17,6
127_chr2,6
127_chr3,6
127_chr4,6
128_chr1,4
128_chr11,4
128_chr12,4
128_chr17,4
128_chr2,4
128_chr3,4
128_chr4,4
128_chr6,4
129_chr1,4
129_chr11,4
129_chr17,4
129_chr2,4
129_chr3,4
129_chr4,4
129_chr9,4
12_chr1,3
12_chr11,3
12_chr14,3
12_chr17,3
12_chr2,3
12_chr22,3
12_chr3,3
12_chr4,3
12_chr6,3
12_chrX,3
130_chr1,5
130_chr11,5
130_chr17,5
130_chr2,5
130_chr3,5
130_chr4,5
131_chr1,2
131_chr11,2
131_chr17,2
131_chr2,2
131_chr3,2
131_chr4,2
132_chr1,3
132_chr11,3
132_chr17,3
132_chr2,3
132_chr3,3
132_chr4,3
133_chr1,6
133_chr11,6
133_chr2,6
133_chr3,6
133_chr4,6
134_chr1,2
134_chr11,2
134_chr17,2
134_chr2,2
134_chr3,2
134_chr4,2
135_chr1,1
135_chr11,1
135_chr17,1
135_chr2,1
135_chr3,1
135_chr4,1
136_chr1,3
136_chr11,3
136_chr17,3
136_chr2,3
136_chr3,3
136_chr4,3
137_chr1,3
137_chr11,3
137_chr17,3
137_chr2,3
137_chr3,3
137_chr4,3
138_chr1,4
138_chr11,4
138_chr17,4
138_chr2,4
138_chr3,4
138_chr4,4
139_chr1,2
139_chr11,2
139_chr17,2
139_chr2,2
139_chr22,2
139_chr3,2
139_chr4,2
139_chr7,2
139_chr9,2
13_chr1,4
13_chr11,4
13_chr17,4
13_chr2,4
13_chr3,4
13_chr4,4
140_chr1,4
140_chr11,4
140_chr17,4
140_chr2,4
140_chr3,4
140_chr4,4
141_chr1,3
141_chr11,3
141_chr17,3
141_chr2,3
141_chr3,3
141_chr4,3
142_chr1,3
142_chr11,3
142_chr17,3
142_chr2,3
142_chr3,3
142_chr4,3
143_chr1,6
143_chr11,6
143_chr17,6
143_chr2,6
143_chr3,6
143_chr4,6
144_chr1,5
144_chr11,5
144_chr17,5
144_chr2,5
144_chr3,5
144_chr4,5
145_chr1,4
145_chr11,4
145_chr12,4
145_chr17,4
145_chr19,4
145_chr2,4
145_chr3,4
145_chr4,4
145_chr6,4
145_chr7,4
146_chr1,3
146_chr11,3
146_chr17,3
146_chr2,3
146_chr3,3
146_chr4,3
147_chr1,6
147_chr11,6
147_chr17,6
147_chr2,6
147_chr3,6
147_chr4,6
148_chr1,6
148_chr11,6
148_chr17,6
148_chr2,6
148_chr3,6
148_chr4,6
149_chr1,6
149_chr11,6
149_chr17,6
149_chr2,6
149_chr20,6
149_chr3,6
149_chr4,6
149_chr6,6
14_chr1,1
14_chr11,1
14_chr17,1
14_chr18,1
14_chr2,1
14_chr3,1
14_chr4,1
150_chr1,1
150_chr11,1
150_chr17,1
150_chr2,1
150_chr3,1
150_chr4,1
151_chr1,3
151_chr11,3
151_chr17,3
151_chr2,3
151_chr3,3
151_chr4,3
152_chr1,1
152_chr11,1
152_chr17,1
152_chr2,1
152_chr3,1
152_chr4,1
153_chr1,5
153_chr11,5
153_chr17,5
153_chr18,5
153_chr2,5
153_chr3,5
153_chr4,5
153_chr7,5
154_chr1,6
154_chr11,6
154_chr17,6
154_chr2,6
154_chr3,6
154_chr4,6
155_chr1,6
155_chr11,6
155_chr17,6
155_chr2,6
155_chr3,6
155_chr4,6
156_chr1,2
156_chr11,2
156_chr17,2
156_chr2,2
156_chr3,2
156_chr4,2
157_chr1,5
157_chr11,5
157_chr17,5
157_chr2,5
157_chr3,5
157_chr4,5
158_chr1,2
158_chr11,2
158_chr17,2
158_chr2,2
158_chr3,2
158_chr4,2
159_chr1,4
159_chr11,4
159_chr17,4
159_chr2,4
159_chr3,4
159_chr4,4
15_chr1,4
15_chr10,4
15_chr11,4
15_chr17,4
15_chr2,4
15_chr3,4
15_chr4,4
15_chr6,4
