sequenceID,fold
100_chr1,1
100_chr11,2
100_chr17,3
100_chr2,4
100_chr3,5
100_chr4,6
101_chr1,1
101_chr11,2
101_chr17,3
101_chr2,4
101_chr3,5
101_chr4,6
102_chr1,1
102_chr11,2
102_chr17,3
102_chr2,4
102_chr3,5
102_chr4,6
103_chr1,1
103_chr11,2
103_chr17,3
103_chr2,4
103_chr3,5
103_chr4,6
104_chr1,1
104_chr11,2
104_chr17,3
104_chr2,4
104_chr3,5
104_chr4,6
105_chr1,1
105_chr11,2
105_chr17,3
105_chr2,4
105_chr3,5
105_chr4,6
106_chr1,1
106_chr11,2
106_chr17,3
106_chr2,4
106_chr3,5
106_chr4,6
107_chr1,1
107_chr11,2
107_chr17,3
107_chr2,4
107_chr3,5
107_chr4,6
108_chr1,1
108_chr11,2
108_chr17,3
108_chr2,4
108_chr3,5
108_chr4,6
109_chr1,1
109_chr11,2
109_chr17,3
109_chr2,4
109_chr3,5
109_chr4,6
10_chr1,1
10_chr11,2
10_chr17,3
10_chr2,4
10_chr3,5
10_chr4,6
110_chr1,1
110_chr11,2
110_chr17,3
110_chr2,4
110_chr3,5
110_chr4,6
111_chr1,1
111_chr11,2
111_chr17,3
111_chr2,4
111_chr3,5
111_chr4,6
112_chr1,1
112_chr11,2
112_chr17,3
112_chr2,4
112_chr3,5
112_chr4,6
113_chr1,1
113_chr11,2
113_chr17,3
113_chr2,4
113_chr3,5
113_chr4,6
114_chr1,1
114_chr11,2
114_chr17,3
114_chr2,4
114_chr3,5
114_chr4,6
115_chr1,1
115_chr11,2
115_chr17,3
115_chr2,4
115_chr3,5
115_chr4,6
116_chr1,1
116_chr11,2
116_chr17,3
116_chr2,4
116_chr3,5
116_chr4,6
117_chr1,1
117_chr11,2
117_chr17,3
117_chr2,4
117_chr3,5
117_chr4,6
118_chr1,1
118_chr11,2
118_chr17,3
118_chr3,5
118_chr4,6
119_chr1,1
119_chr11,2
119_chr17,3
119_chr2,4
119_chr3,5
119_chr4,6
11_chr1,1
11_chr11,2
11_chr17,3
11_chr2,4
11_chr3,5
11_chr4,6
120_chr1,1
120_chr11,2
120_chr17,3
120_chr2,4
120_chr3,5
120_chr4,6
121_chr1,1
121_chr11,2
121_chr17,3
121_chr2,4
121_chr3,5
121_chr4,6
122_chr1,1
122_chr11,2
122_chr17,3
122_chr2,4
122_chr3,5
122_chr4,6
123_chr1,1
123_chr11,2
123_chr17,3
123_chr2,4
123_chr3,5
123_chr4,6
124_chr1,1
124_chr11,2
124_chr17,3
124_chr2,4
124_chr3,5
124_chr4,6
125_chr1,1
125_chr11,2
125_chr17,3
125_chr2,4
125_chr3,5
125_chr4,6
126_chr1,1
126_chr11,2
126_chr17,3
126_chr2,4
126_chr3,5
126_chr4,6
127_chr1,1
127_chr11,2
127_chr17,3
127_chr2,4
127_chr3,5
127_chr4,6
128_chr1,1
128_chr11,2
128_chr17,3
128_chr2,4
128_chr3,5
128_chr4,6
129_chr1,1
129_chr11,2
129_chr17,3
129_chr2,4
129_chr3,5
129_chr4,6
12_chr1,1
12_chr11,2
12_chr17,3
12_chr2,4
12_chr3,5
12_chr4,6
130_chr1,1
130_chr11,2
130_chr17,3
130_chr2,4
130_chr3,5
130_chr4,6
131_chr1,1
131_chr11,2
131_chr17,3
131_chr2,4
131_chr3,5
131_chr4,6
132_chr1,1
132_chr11,2
132_chr17,3
132_chr2,4
132_chr3,5
132_chr4,6
133_chr1,1
133_chr11,2
133_chr2,4
133_chr3,5
133_chr4,6
134_chr1,1
134_chr11,2
134_chr17,3
134_chr2,4
134_chr3,5
134_chr4,6
135_chr1,1
135_chr11,2
135_chr17,3
135_chr2,4
135_chr3,5
135_chr4,6
136_chr1,1
136_chr11,2
136_chr17,3
136_chr2,4
136_chr3,5
136_chr4,6
137_chr1,1
137_chr11,2
137_chr17,3
137_chr2,4
137_chr3,5
137_chr4,6
138_chr1,1
138_chr11,2
138_chr17,3
138_chr2,4
138_chr3,5
138_chr4,6
139_chr1,1
139_chr11,2
139_chr17,3
139_chr2,4
139_chr3,5
139_chr4,6
13_chr1,1
13_chr11,2
13_chr17,3
13_chr2,4
13_chr3,5
13_chr4,6
140_chr1,1
140_chr11,2
140_chr17,3
140_chr2,4
140_chr3,5
140_chr4,6
141_chr1,1
141_chr11,2
141_chr17,3
141_chr2,4
141_chr3,5
141_chr4,6
142_chr1,1
142_chr11,2
142_chr17,3
142_chr2,4
142_chr3,5
142_chr4,6
143_chr1,1
143_chr11,2
143_chr17,3
143_chr2,4
143_chr3,5
143_chr4,6
144_chr1,1
144_chr11,2
144_chr17,3
144_chr2,4
144_chr3,5
144_chr4,6
145_chr1,1
145_chr11,2
145_chr17,3
145_chr2,4
145_chr3,5
145_chr4,6
146_chr1,1
146_chr11,2
146_chr17,3
146_chr2,4
146_chr3,5
146_chr4,6
147_chr11,2
147_chr17,3
147_chr2,4
147_chr3,5
147_chr4,6
148_chr1,1
148_chr11,2
148_chr17,3
148_chr2,4
148_chr3,5
148_chr4,6
149_chr1,1
149_chr11,2
149_chr17,3
149_chr2,4
149_chr3,5
149_chr4,6
14_chr11,2
14_chr17,3
14_chr2,4
14_chr3,5
14_chr4,6
150_chr1,1
150_chr11,2
150_chr17,3
150_chr2,4
150_chr3,5
150_chr4,6
151_chr1,1
151_chr11,2
151_chr17,3
151_chr2,4
151_chr3,5
151_chr4,6
152_chr1,1
152_chr11,2
152_chr17,3
152_chr2,4
152_chr3,5
152_chr4,6
153_chr1,1
153_chr11,2
153_chr17,3
153_chr2,4
153_chr3,5
153_chr4,6
154_chr1,1
154_chr11,2
154_chr17,3
154_chr2,4
154_chr3,5
154_chr4,6
155_chr1,1
155_chr11,2
155_chr17,3
155_chr2,4
155_chr3,5
155_chr4,6
156_chr1,1
156_chr11,2
156_chr17,3
156_chr2,4
156_chr3,5
156_chr4,6
157_chr1,1
157_chr11,2
157_chr17,3
157_chr2,4
157_chr3,5
157_chr4,6
158_chr1,1
158_chr11,2
158_chr17,3
158_chr2,4
158_chr3,5
158_chr4,6
159_chr1,1
159_chr11,2
159_chr17,3
159_chr2,4
159_chr3,5
159_chr4,6
15_chr1,1
15_chr11,2
15_chr17,3
15_chr2,4
15_chr3,5
15_chr4,6
160_chr1,1
160_chr11,2
160_chr17,3
160_chr2,4
160_chr3,5
160_chr4,6
161_chr1,1
161_chr17,3
161_chr2,4
161_chr3,5
161_chr4,6
162_chr1,1
162_chr11,2
162_chr17,3
162_chr2,4
162_chr3,5
162_chr4,6
163_chr1,1
163_chr11,2
163_chr17,3
163_chr2,4
163_chr3,5
163_chr4,6
164_chr1,1
164_chr11,2
164_chr17,3
164_chr2,4
164_chr3,5
164_chr4,6
165_chr1,1
165_chr11,2
165_chr17,3
165_chr2,4
165_chr3,5
165_chr4,6
166_chr1,1
166_chr11,2
166_chr17,3
166_chr2,4
166_chr3,5
166_chr4,6
167_chr1,1
167_chr11,2
167_chr17,3
167_chr2,4
167_chr3,5
167_chr4,6
168_chr1,1
168_chr11,2
168_chr17,3
168_chr2,4
168_chr3,5
168_chr4,6
169_chr1,1
169_chr11,2
169_chr17,3
169_chr2,4
169_chr3,5
169_chr4,6
16_chr1,1
16_chr11,2
16_chr17,3
16_chr2,4
16_chr3,5
16_chr4,6
170_chr1,1
170_chr11,2
170_chr17,3
170_chr2,4
170_chr3,5
170_chr4,6
171_chr1,1
171_chr11,2
171_chr17,3
171_chr2,4
171_chr3,5
171_chr4,6
172_chr1,1
172_chr11,2
172_chr17,3
172_chr2,4
172_chr3,5
172_chr4,6
173_chr1,1
173_chr11,2
173_chr17,3
173_chr2,4
173_chr3,5
173_chr4,6
175_chr1,1
175_chr11,2
175_chr17,3
175_chr2,4
175_chr3,5
175_chr4,6
176_chr1,1
176_chr11,2
176_chr17,3
176_chr2,4
176_chr3,5
176_chr4,6
177_chr1,1
177_chr11,2
177_chr17,3
177_chr2,4
177_chr3,5
177_chr4,6
178_chr1,1
178_chr11,2
178_chr17,3
178_chr2,4
178_chr3,5
178_chr4,6
17_chr1,1
17_chr11,2
17_chr17,3
17_chr2,4
17_chr3,5
17_chr4,6
180_chr1,1
180_chr11,2
180_chr17,3
180_chr2,4
180_chr3,5
180_chr4,6
181_chr11,2
181_chr17,3
181_chr2,4
181_chr3,5
181_chr4,6
182_chr1,1
182_chr11,2
182_chr17,3
182_chr2,4
182_chr3,5
183_chr1,1
183_chr11,2
183_chr17,3
183_chr2,4
183_chr3,5
183_chr4,6
184_chr1,1
184_chr11,2
184_chr17,3
184_chr2,4
184_chr3,5
184_chr4,6
185_chr1,1
185_chr11,2
185_chr17,3
185_chr2,4
185_chr3,5
185_chr4,6
186_chr1,1
186_chr11,2
186_chr17,3
186_chr2,4
186_chr3,5
186_chr4,6
187_chr1,1
187_chr11,2
187_chr17,3
187_chr2,4
187_chr3,5
187_chr4,6
188_chr1,1
188_chr11,2
188_chr2,4
188_chr3,5
188_chr4,6
189_chr1,1
189_chr11,2
189_chr17,3
189_chr2,4
189_chr3,5
189_chr4,6
18_chr1,1
18_chr11,2
18_chr17,3
18_chr2,4
18_chr3,5
18_chr4,6
190_chr1,1
190_chr11,2
190_chr17,3
190_chr2,4
190_chr3,5
190_chr4,6
191_chr1,1
191_chr11,2
191_chr17,3
191_chr2,4
191_chr3,5
191_chr4,6
192_chr1,1
192_chr11,2
192_chr17,3
192_chr2,4
192_chr3,5
192_chr4,6
193_chr1,1
193_chr11,2
193_chr17,3
193_chr2,4
193_chr3,5
193_chr4,6
194_chr1,1
194_chr11,2
194_chr17,3
194_chr2,4
194_chr3,5
194_chr4,6
195_chr1,1
195_chr11,2
195_chr17,3
195_chr2,4
195_chr3,5
195_chr4,6
196_chr1,1
196_chr11,2
196_chr17,3
196_chr2,4
196_chr3,5
196_chr4,6
197_chr1,1
197_chr11,2
197_chr17,3
197_chr2,4
197_chr3,5
197_chr4,6
198_chr1,1
198_chr11,2
198_chr17,3
198_chr2,4
198_chr3,5
198_chr4,6
199_chr1,1
199_chr11,2
199_chr17,3
199_chr2,4
199_chr3,5
199_chr4,6
19_chr1,1
19_chr11,2
19_chr17,3
19_chr2,4
19_chr3,5
19_chr4,6
1_chr1,1
1_chr11,2
1_chr17,3
1_chr2,4
1_chr3,5
1_chr4,6
200_chr1,1
200_chr11,2
200_chr17,3
200_chr2,4
200_chr3,5
200_chr4,6
201_chr1,1
201_chr11,2
201_chr17,3
201_chr2,4
201_chr3,5
201_chr4,6
202_chr1,1
202_chr11,2
202_chr17,3
202_chr2,4
202_chr3,5
202_chr4,6
203_chr1,1
203_chr11,2
203_chr17,3
203_chr2,4
203_chr3,5
203_chr4,6
204_chr1,1
204_chr11,2
204_chr17,3
204_chr2,4
204_chr3,5
204_chr4,6
205_chr1,1
205_chr11,2
205_chr17,3
205_chr2,4
205_chr3,5
205_chr4,6
206_chr1,1
206_chr11,2
206_chr17,3
206_chr2,4
206_chr3,5
206_chr4,6
207_chr1,1
207_chr11,2
207_chr17,3
207_chr2,4
207_chr3,5
208_chr1,1
208_chr11,2
208_chr17,3
208_chr2,4
208_chr3,5
208_chr4,6
209_chr1,1
209_chr11,2
209_chr17,3
209_chr2,4
209_chr3,5
209_chr4,6
20_chr1,1
20_chr11,2
20_chr17,3
20_chr2,4
20_chr3,5
20_chr4,6
210_chr1,1
210_chr11,2
210_chr17,3
210_chr2,4
210_chr3,5
210_chr4,6
211_chr1,1
211_chr11,2
211_chr2,4
211_chr3,5
211_chr4,6
212_chr1,1
212_chr11,2
212_chr17,3
212_chr2,4
212_chr3,5
212_chr4,6
213_chr1,1
213_chr11,2
213_chr17,3
213_chr2,4
213_chr3,5
213_chr4,6
214_chr1,1
214_chr11,2
214_chr17,3
214_chr2,4
214_chr3,5
214_chr4,6
215_chr1,1
215_chr11,2
215_chr17,3
215_chr2,4
215_chr3,5
215_chr4,6
216_chr1,1
216_chr11,2
216_chr17,3
216_chr2,4
216_chr3,5
216_chr4,6
217_chr1,1
217_chr11,2
217_chr17,3
217_chr2,4
217_chr3,5
217_chr4,6
218_chr1,1
218_chr11,2
218_chr17,3
218_chr2,4
218_chr3,5
218_chr4,6
219_chr1,1
219_chr11,2
219_chr17,3
219_chr2,4
219_chr3,5
219_chr4,6
21_chr1,1
21_chr11,2
21_chr17,3
21_chr2,4
21_chr3,5
21_chr4,6
220_chr1,1
220_chr11,2
220_chr17,3
220_chr2,4
220_chr3,5
220_chr4,6
221_chr1,1
221_chr11,2
221_chr17,3
221_chr2,4
221_chr3,5
221_chr4,6
222_chr1,1
222_chr11,2
222_chr17,3
222_chr2,4
222_chr3,5
222_chr4,6
223_chr1,1
223_chr11,2
223_chr17,3
223_chr2,4
223_chr3,5
223_chr4,6
224_chr1,1
224_chr11,2
224_chr17,3
224_chr2,4
224_chr3,5
224_chr4,6
225_chr1,1
225_chr11,2
225_chr17,3
225_chr2,4
225_chr3,5
225_chr4,6
226_chr1,1
226_chr11,2
226_chr17,3
226_chr2,4
226_chr3,5
226_chr4,6
227_chr1,1
227_chr11,2
227_chr17,3
227_chr2,4
227_chr3,5
227_chr4,6
228_chr1,1
228_chr11,2
228_chr17,3
228_chr2,4
228_chr3,5
228_chr4,6
229_chr1,1
229_chr11,2
229_chr17,3
229_chr2,4
229_chr3,5
229_chr4,6
22_chr1,1
22_chr11,2
22_chr17,3
22_chr2,4
22_chr3,5
22_chr4,6
230_chr1,1
230_chr11,2
230_chr17,3
230_chr2,4
230_chr3,5
230_chr4,6
231_chr1,1
231_chr11,2
231_chr17,3
231_chr2,4
231_chr3,5
231_chr4,6
232_chr1,1
232_chr11,2
232_chr17,3
232_chr2,4
232_chr3,5
232_chr4,6
233_chr1,1
233_chr11,2
233_chr17,3
233_chr2,4
233_chr3,5
233_chr4,6
234_chr1,1
234_chr11,2
234_chr17,3
234_chr2,4
234_chr3,5
234_chr4,6
235_chr1,1
235_chr11,2
235_chr17,3
235_chr2,4
235_chr3,5
235_chr4,6
236_chr1,1
236_chr11,2
236_chr17,3
236_chr2,4
236_chr3,5
236_chr4,6
237_chr1,1
237_chr11,2
237_chr17,3
237_chr2,4
237_chr3,5
237_chr4,6
238_chr1,1
238_chr11,2
238_chr17,3
238_chr2,4
238_chr3,5
238_chr4,6
239_chr1,1
239_chr11,2
239_chr17,3
239_chr2,4
239_chr3,5
239_chr4,6
23_chr1,1
23_chr11,2
23_chr17,3
23_chr2,4
23_chr3,5
23_chr4,6
240_chr1,1
240_chr11,2
240_chr17,3
240_chr2,4
240_chr3,5
240_chr4,6
241_chr1,1
241_chr11,2
241_chr17,3
241_chr2,4
241_chr3,5
241_chr4,6
242_chr1,1
242_chr11,2
242_chr17,3
242_chr2,4
242_chr3,5
242_chr4,6
243_chr1,1
243_chr11,2
243_chr17,3
243_chr2,4
243_chr3,5
243_chr4,6
244_chr1,1
244_chr11,2
244_chr17,3
244_chr2,4
244_chr3,5
244_chr4,6
245_chr1,1
245_chr11,2
245_chr17,3
245_chr2,4
245_chr3,5
245_chr4,6
246_chr1,1
246_chr11,2
246_chr17,3
246_chr2,4
246_chr3,5
246_chr4,6
247_chr11,2
247_chr17,3
247_chr2,4
247_chr3,5
247_chr4,6
248_chr1,1
248_chr11,2
248_chr17,3
248_chr2,4
248_chr3,5
248_chr4,6
249_chr1,1
249_chr11,2
249_chr17,3
249_chr2,4
249_chr3,5
249_chr4,6
24_chr1,1
24_chr11,2
24_chr17,3
24_chr2,4
24_chr3,5
24_chr4,6
251_chr1,1
251_chr11,2
251_chr17,3
251_chr2,4
251_chr3,5
251_chr4,6
252_chr1,1
252_chr11,2
252_chr17,3
252_chr2,4
252_chr3,5
252_chr4,6
253_chr1,1
253_chr11,2
253_chr17,3
253_chr2,4
253_chr3,5
253_chr4,6
254_chr1,1
254_chr11,2
254_chr17,3
254_chr2,4
254_chr3,5
254_chr4,6
255_chr1,1
255_chr11,2
255_chr17,3
255_chr2,4
255_chr3,5
255_chr4,6
256_chr1,1
256_chr11,2
256_chr17,3
256_chr2,4
256_chr3,5
256_chr4,6
257_chr1,1
257_chr11,2
257_chr17,3
257_chr2,4
257_chr3,5
257_chr4,6
258_chr1,1
258_chr11,2
258_chr17,3
258_chr2,4
258_chr3,5
258_chr4,6
259_chr1,1
259_chr11,2
259_chr17,3
259_chr2,4
259_chr3,5
259_chr4,6
25_chr1,1
25_chr11,2
25_chr2,4
25_chr3,5
25_chr4,6
260_chr1,1
260_chr11,2
260_chr17,3
260_chr2,4
260_chr3,5
260_chr4,6
261_chr1,1
261_chr11,2
261_chr17,3
261_chr2,4
261_chr3,5
261_chr4,6
262_chr1,1
262_chr11,2
262_chr17,3
262_chr2,4
262_chr3,5
262_chr4,6
263_chr1,1
263_chr11,2
263_chr17,3
263_chr2,4
263_chr3,5
263_chr4,6
264_chr11,2
264_chr17,3
264_chr2,4
264_chr3,5
264_chr4,6
265_chr1,1
265_chr11,2
265_chr17,3
265_chr2,4
265_chr3,5
265_chr4,6
266_chr1,1
266_chr11,2
266_chr17,3
266_chr2,4
266_chr3,5
266_chr4,6
267_chr1,1
267_chr11,2
267_chr2,4
267_chr3,5
267_chr4,6
268_chr1,1
268_chr11,2
268_chr17,3
268_chr2,4
268_chr3,5
268_chr4,6
269_chr1,1
269_chr11,2
269_chr17,3
269_chr2,4
269_chr3,5
269_chr4,6
26_chr1,1
26_chr11,2
26_chr17,3
26_chr2,4
26_chr3,5
26_chr4,6
270_chr1,1
270_chr11,2
270_chr17,3
270_chr2,4
270_chr3,5
270_chr4,6
271_chr1,1
271_chr11,2
271_chr17,3
271_chr2,4
271_chr3,5
271_chr4,6
272_chr1,1
272_chr11,2
272_chr17,3
272_chr2,4
272_chr3,5
272_chr4,6
273_chr1,1
