sequenceID,n.segments,possible.fp,fp,possible.fn,fn,labels,errors,min.log.lambda,max.log.lambda,loss
1_chr1,1,1,0,0,0,1,0,2.14125728278462,Inf,15.9149874728092
1_chr1,2,1,0,0,0,1,0,0.634276456088799,2.14125728278462,7.40485692671152
1_chr1,3,1,0,0,0,1,0,0.195727051766757,0.634276456088799,5.5191996348097
1_chr1,4,1,1,0,0,1,1,-1.27486211315798,0.195727051766757,4.30300473303293
1_chr1,5,1,1,0,0,1,1,-1.56227106689184,-1.27486211315798,4.02353523230125
1_chr1,6,1,1,0,0,1,1,-2.05569890137926,-1.56227106689184,3.81387585267047
1_chr1,8,1,1,0,0,1,1,-2.08176551718893,-2.05569890137926,3.55786916748026
1_chr1,9,1,1,0,0,1,1,-2.63453635298897,-2.08176551718893,3.43315932712635
1_chr1,10,1,1,0,0,1,1,-2.66247178421091,-2.63453635298897,3.36140709772211
1_chr1,12,1,1,0,0,1,1,-2.7224685932567,-2.66247178421091,3.22185602104102
1_chr1,14,1,1,0,0,1,1,-2.7601977651353,-2.7224685932567,3.09043134702984
1_chr1,15,1,1,0,0,1,1,-2.87261591611749,-2.7601977651353,3.02715209433771
1_chr1,17,1,1,0,0,1,1,-2.93885198776766,-2.87261591611749,2.91405049279615
1_chr1,19,1,1,0,0,1,1,-3.12850136177058,-2.93885198776766,2.80819758461282
1_chr1,20,1,1,0,0,1,1,-Inf,-3.12850136177058,2.76441422108
1_chr2,1,1,0,0,0,1,0,-1.1087553605429,Inf,3.52324377342976
1_chr2,3,1,1,0,0,1,1,-2.00931178019977,-1.1087553605429,2.8633049763659
1_chr2,5,1,1,0,0,1,1,-2.16292521225012,-2.00931178019977,2.59514313623264
1_chr2,6,1,1,0,0,1,1,-2.26178890181916,-2.16292521225012,2.4801548727213
1_chr2,8,1,1,0,0,1,1,-2.50031871844286,-2.26178890181916,2.27182691501556
1_chr2,9,1,1,0,0,1,1,-2.91848887358402,-2.50031871844286,2.18976807422589
1_chr2,11,1,1,0,0,1,1,-3.04241274668258,-2.91848887358402,2.0817375751662
1_chr2,14,1,1,0,0,1,1,-3.06215738642472,-3.04241274668258,1.93857872973694
1_chr2,15,1,1,0,0,1,1,-3.16791147985103,-3.06215738642472,1.89179208035746
1_chr2,18,1,1,0,0,1,1,-3.1888391406639,-3.16791147985103,1.76551783554977
1_chr2,19,1,1,0,0,1,1,-3.27951165591726,-3.1888391406639,1.72429814210771
1_chr2,20,1,1,0,0,1,1,-Inf,-3.27951165591726,1.68665150527645
1_chr3,1,1,0,0,0,1,0,-1.00065642410924,Inf,5.21322074265053
1_chr3,3,1,1,0,0,1,1,-1.23268755513076,-1.00065642410924,4.47794467169475
1_chr3,5,1,1,0,0,1,1,-1.5868886540847,-1.23268755513076,3.89492851184133
1_chr3,7,1,1,0,0,1,1,-1.70664150374374,-1.5868886540847,3.4858063459893
1_chr3,9,1,1,0,0,1,1,-1.83250104822444,-1.70664150374374,3.12285784421931
1_chr3,11,1,1,0,0,1,1,-2.11561934614512,-1.83250104822444,2.80283211021698
1_chr3,12,1,1,0,0,1,1,-2.18229430945811,-2.11561934614512,2.68227351129461
1_chr3,13,1,1,0,0,1,1,-2.38277423157676,-2.18229430945811,2.56949103561731
1_chr3,14,1,1,0,0,1,1,-2.42328447709098,-2.38277423157676,2.47719685901934
1_chr3,15,1,1,0,0,1,1,-2.64167766855281,-2.42328447709098,2.38856682346622
