sequenceID,min.log.lambda,max.log.lambda,possible.fp,fp,possible.fn,fn,labels,errors
1_chr1,2.14125728278462,Inf,1,0,0,0,1,0
1_chr1,0.634276456088799,2.14125728278462,1,0,0,0,1,0
1_chr1,0.195727051766757,0.634276456088799,1,0,0,0,1,0
1_chr1,-1.27486211315798,0.195727051766757,1,1,0,0,1,1
1_chr1,-1.56227106689184,-1.27486211315798,1,1,0,0,1,1
1_chr1,-2.05569890137926,-1.56227106689184,1,1,0,0,1,1
1_chr1,-2.08176551718893,-2.05569890137926,1,1,0,0,1,1
1_chr1,-2.63453635298897,-2.08176551718893,1,1,0,0,1,1
1_chr1,-2.66247178421091,-2.63453635298897,1,1,0,0,1,1
1_chr1,-2.7224685932567,-2.66247178421091,1,1,0,0,1,1
1_chr1,-2.7601977651353,-2.7224685932567,1,1,0,0,1,1
1_chr1,-2.87261591611749,-2.7601977651353,1,1,0,0,1,1
1_chr1,-2.93885198776766,-2.87261591611749,1,1,0,0,1,1
1_chr1,-3.12850136177058,-2.93885198776766,1,1,0,0,1,1
1_chr1,-Inf,-3.12850136177058,1,1,0,0,1,1
1_chr2,-1.1087553605429,Inf,1,0,0,0,1,0
1_chr2,-2.00931178019977,-1.1087553605429,1,1,0,0,1,1
1_chr2,-2.16292521225012,-2.00931178019977,1,1,0,0,1,1
1_chr2,-2.26178890181916,-2.16292521225012,1,1,0,0,1,1
1_chr2,-2.50031871844286,-2.26178890181916,1,1,0,0,1,1
1_chr2,-2.91848887358402,-2.50031871844286,1,1,0,0,1,1
1_chr2,-3.04241274668258,-2.91848887358402,1,1,0,0,1,1
1_chr2,-3.06215738642472,-3.04241274668258,1,1,0,0,1,1
1_chr2,-3.16791147985103,-3.06215738642472,1,1,0,0,1,1
1_chr2,-3.1888391406639,-3.16791147985103,1,1,0,0,1,1
1_chr2,-3.27951165591726,-3.1888391406639,1,1,0,0,1,1
1_chr2,-Inf,-3.27951165591726,1,1,0,0,1,1
1_chr3,-1.00065642410924,Inf,1,0,0,0,1,0
1_chr3,-1.23268755513076,-1.00065642410924,1,1,0,0,1,1
1_chr3,-1.5868886540847,-1.23268755513076,1,1,0,0,1,1
1_chr3,-1.70664150374374,-1.5868886540847,1,1,0,0,1,1
1_chr3,-1.83250104822444,-1.70664150374374,1,1,0,0,1,1
1_chr3,-2.11561934614512,-1.83250104822444,1,1,0,0,1,1
1_chr3,-2.18229430945811,-2.11561934614512,1,1,0,0,1,1
1_chr3,-2.38277423157676,-2.18229430945811,1,1,0,0,1,1
1_chr3,-2.42328447709098,-2.38277423157676,1,1,0,0,1,1
1_chr3,-2.64167766855281,-2.42328447709098,1,1,0,0,1,1
1_chr3,-2.67778641490749,-2.64167766855281,1,1,0,0,1,1
1_chr3,-2.77571434897052,-2.67778641490749,1,1,0,0,1,1
1_chr3,-2.78483322973026,-2.77571434897052,1,1,0,0,1,1
1_chr3,-Inf,-2.78483322973026,1,1,0,0,1,1
1_chr4,-0.995123241844028,Inf,1,0,0,0,1,0
1_chr4,-2.11586023879768,-0.995123241844028,1,1,0,0,1,1
1_chr4,-2.14383517086678,-2.11586023879768,1,1,0,0,1,1
1_chr4,-2.2582391722855,-2.14383517086678,1,1,0,0,1,1
1_chr4,-2.38951735926877,-2.2582391722855,1,1,0,0,1,1
1_chr4,-2.70278672620833,-2.38951735926877,1,1,0,0,1,1
1_chr4,-2.72361440511359,-2.70278672620833,1,1,0,0,1,1
1_chr4,-2.79970428233986,-2.72361440511359,1,1,0,0,1,1
1_chr4,-3.06803965732012,-2.79970428233986,1,1,0,0,1,1
1_chr4,-3.14656300610566,-3.06803965732012,1,1,0,0,1,1
1_chr4,-3.18841420094466,-3.14656300610566,1,1,0,0,1,1
1_chr4,-3.2530007105771,-3.18841420094466,1,1,0,0,1,1
1_chr4,-3.25539407481268,-3.2530007105771,1,1,0,0,1,1
1_chr4,-3.26394984781452,-3.25539407481268,1,1,0,0,1,1
1_chr4,-Inf,-3.26394984781452,1,1,0,0,1,1
1_chr11,2.06739808397873,Inf,0,0,1,1,1,1
1_chr11,-1.172319750687,2.06739808397873,0,0,1,0,1,0
1_chr11,-1.47704824301095,-1.172319750687,0,0,1,0,1,0
1_chr11,-1.95742073591083,-1.47704824301095,0,0,1,0,1,0
1_chr11,-2.08075007234103,-1.95742073591083,0,0,1,0,1,0
1_chr11,-2.17230119628765,-2.08075007234103,0,0,1,0,1,0
1_chr11,-2.46409795755176,-2.17230119628765,0,0,1,0,1,0
1_chr11,-2.69055059829565,-2.46409795755176,0,0,1,0,1,0
1_chr11,-2.99112347176249,-2.69055059829565,0,0,1,0,1,0
1_chr11,-3.01381341910481,-2.99112347176249,0,0,1,0,1,0
1_chr11,-3.04122282932398,-3.01381341910481,0,0,1,0,1,0
1_chr11,-3.06734098577108,-3.04122282932398,0,0,1,0,1,0
1_chr11,-3.1028801092675,-3.06734098577108,0,0,1,0,1,0
1_chr11,-3.13473299012642,-3.1028801092675,0,0,1,0,1,0
1_chr11,-Inf,-3.13473299012642,0,0,1,0,1,0
1_chr17,-1.81065319423307,Inf,1,0,0,0,1,0
1_chr17,-1.83495178573756,-1.81065319423307,1,1,0,0,1,1
1_chr17,-2.08784878052659,-1.83495178573756,1,1,0,0,1,1
1_chr17,-2.15717471220073,-2.08784878052659,1,1,0,0,1,1
1_chr17,-2.33053783237638,-2.15717471220073,1,1,0,0,1,1
1_chr17,-2.33234850193731,-2.33053783237638,1,1,0,0,1,1
1_chr17,-2.51181015197678,-2.33234850193731,1,1,0,0,1,1
1_chr17,-2.73026599572095,-2.51181015197678,1,1,0,0,1,1
1_chr17,-3.00003261325348,-2.73026599572095,1,1,0,0,1,1
1_chr17,-3.21168247127049,-3.00003261325348,1,1,0,0,1,1
1_chr17,-3.256894017281,-3.21168247127049,1,1,0,0,1,1
1_chr17,-3.35038612980672,-3.256894017281,1,1,0,0,1,1
1_chr17,-Inf,-3.35038612980672,1,1,0,0,1,1
2_chr1,4.26139835647981,Inf,0,0,1,1,1,1
2_chr1,-0.843138702366105,4.26139835647981,0,0,1,0,1,0
2_chr1,-1.19588296428819,-0.843138702366105,0,0,1,0,1,0
2_chr1,-1.29051922780386,-1.19588296428819,0,0,1,0,1,0
2_chr1,-1.34941757221025,-1.29051922780386,0,0,1,0,1,0
2_chr1,-1.56622424616144,-1.34941757221025,0,0,1,0,1,0
2_chr1,-1.73588089216752,-1.56622424616144,0,0,1,0,1,0
2_chr1,-1.86176340384424,-1.73588089216752,0,0,1,0,1,0
2_chr1,-2.19527131726083,-1.86176340384424,0,0,1,0,1,0
2_chr1,-2.25690869867022,-2.19527131726083,0,0,1,0,1,0
2_chr1,-2.26365580882474,-2.25690869867022,0,0,1,0,1,0
2_chr1,-2.35095286415178,-2.26365580882474,0,0,1,0,1,0
2_chr1,-2.40738520542121,-2.35095286415178,0,0,1,0,1,0
2_chr1,-Inf,-2.40738520542121,0,0,1,0,1,0
2_chr2,3.97482577213786,Inf,0,0,1,1,1,1
2_chr2,2.12231531836194,3.97482577213786,0,0,1,0,1,0
2_chr2,-1.16207542042347,2.12231531836194,0,0,1,0,1,0
2_chr2,-1.9707696702839,-1.16207542042347,0,0,1,0,1,0
2_chr2,-2.64287799456609,-1.9707696702839,0,0,1,0,1,0
2_chr2,-2.87899562822468,-2.64287799456609,0,0,1,0,1,0
2_chr2,-3.16662681092108,-2.87899562822468,0,0,1,0,1,0
2_chr2,-3.17358961725159,-3.16662681092108,0,0,1,0,1,0
2_chr2,-3.24389665710408,-3.17358961725159,0,0,1,0,1,0
2_chr2,-3.4170041518113,-3.24389665710408,0,0,1,0,1,0
2_chr2,-3.57386629063261,-3.4170041518113,0,0,1,0,1,0
2_chr2,-3.58227832464429,-3.57386629063261,0,0,1,0,1,0
2_chr2,-3.61354692976505,-3.58227832464429,0,0,1,0,1,0
2_chr2,-3.62296974704087,-3.61354692976505,0,0,1,0,1,0
2_chr2,-Inf,-3.62296974704087,0,0,1,0,1,0
2_chr3,-2.19016308286862,Inf,1,0,0,0,1,0
2_chr3,-3.04600137494931,-2.19016308286862,1,1,0,0,1,1
2_chr3,-3.09034589177298,-3.04600137494931,1,1,0,0,1,1
2_chr3,-3.19343211204562,-3.09034589177298,1,1,0,0,1,1
2_chr3,-3.46307858894932,-3.19343211204562,1,1,0,0,1,1
2_chr3,-3.71945114363378,-3.46307858894932,1,1,0,0,1,1
2_chr3,-3.91043457791413,-3.71945114363378,1,1,0,0,1,1
